,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
474,Digit88 Technologies - Data Analyst - SQL/Python (4-7 yrs),DIGIT88 TECHNOLOGIES PVT LTD,4-7 Yrs,4.0,7.0,,,,Pune,7.0,hirist,3.6,15.0,"Data Analyst, Excel, SQL",
475,Data Analyst,KRSNAA Diagnostics,1-5 Yrs,1.0,5.0,,,,Pune,270.0,Naukri,3.9,378.0,"Trade, Head Business Development, Diagnostics",
476,Data Analyst (5-12 yrs),Personnel Search Services,5-12 Yrs,5.0,12.0,,,,"Mumbai, Navi Mumbai",30.0,iimjobs,4.7,6.0,"Data Science, Data Management, Analytics",
477,Data Analyst,InnovAccer,1-4 Yrs,1.0,4.0,₹ 5.5 - 13L/yr (AmbitionBox estimate),550000.0,1300000.0,Noida,30.0,Naukri,3.1,290.0,"Health insurance, Product engineering, Claims",Estimated by Ambition Box
478,Lead Data Analyst,InnovAccer,5-6 Yrs,5.0,6.0,₹ 32 - 25L/yr (AmbitionBox estimate),3200000.0,2500000.0,Noida,30.0,Naukri,3.1,290.0,"Health insurance, Skill development, Data modeling",Estimated by Ambition Box
479,Priority Technology Holdings - Data Analyst - Tableau/Power BI (2-5 yrs),Priority Technology Holdings,2-5 Yrs,2.0,5.0,,,,Chandigarh,7.0,hirist,3.1,46.0,"Data Analyst, SQL Server, Looker",
480,Data Analyst,Experian PLC,3-5 Yrs,3.0,5.0,,,,Mumbai,60.0,Naukri,3.7,84.0,"CRM, Analytics, SQL",
481,Manager - Data Analytics & Engineering (5-10 yrs),Credit Saison,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,27.0,hirist,3.8,42.0,"Data Analyst, Data Analytics, Data Engineering",
482,Associate BI Developer - Data Visualization (1-3 yrs),Kaplan,1-3 Yrs,1.0,3.0,,,,Bangalore / Bengaluru,60.0,hirist,3.7,58.0,"Data Pipeline, Data Analytics, Data Analyst",
483,Lead Data Analyst,Cimpress India,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,90.0,Naukri,3.9,266.0,"Consulting, Analytics, SQL",
484,Data Analyst,conneqtbusinesssolutions,1-3 Yrs,1.0,3.0,,,,Bangalore / Bengaluru,150.0,Naukri,3.7,8000.0,"Troubleshooting, Manager Quality Assurance, Data mining",
485,Senior Data Analyst,InApp Information Technologies,6-11 Yrs,6.0,11.0,,,,"Thiruvananthapuram, Cochin/Ernakulam/Kochi",180.0,Naukri,4.7,56.0,"Data analysis, SQL, Forecasting",
486,Data Analyst - Python (3-7 yrs),"Triad Square Pvt Ltd.,",3-7 Yrs,3.0,7.0,,,,Bangalore / Bengaluru,30.0,hirist,4.0,30.0,"Python, Data Analyst, SQL",
487,Data Analyst II - BI Development (5-5 yrs),MEREDITH INDIA SERVICES PRIVATE LIMITED,5-5 Yrs,5.0,5.0,,,,Bangalore / Bengaluru,30.0,hirist,4.3,19.0,"Microstrategy, Data Analyst, Power BI",
488,Data Analyst - BFSI/Healthcare (2-5 yrs),Crescendo Global Leadership Hiring India Private Limited,2-5 Yrs,2.0,5.0,,,,Gurgaon / Gurugram,30.0,iimjobs,4.2,119.0,"Analytics, Data Analytics, SQL",
489,Financial Master Data  Analyst,DISCOVERY COMMUNICATIONS INDIA,2-7 Yrs,2.0,7.0,,,,Hyderabad / Secunderabad,25.0,Naukri,3.7,38.0,"excel, business intelligence tools, data analysis",
490,Senior Data Analyst - DOMO Tool (6-8 yrs),Cortex Consulting Pvt. Ltd.,6-8 Yrs,6.0,8.0,,,,Chennai,27.0,hirist,3.1,16.0,"Data Analyst, Data Analytics, Python",
